dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,gpu_id,debug,image_size,recons_decoder,recons_lambda,aug_type,aug_target,vaegan_exp,vaegan_step,zvar_lambda,fake_prob,vaegan_is_train,dropout_p,dropout_block_id,more_to_drop,min_gram,gram_bid,lambda_gram,split,save_iter,target_bn,n_test_candidates,sample_strategy,test_dropout_p,test_dropout_bid,finetune_dropout_p,csv_name,adaptation,frac_ensemble,candidate_metric,ensemble_strategy,num_classes,source_val_acc,train_acc_mean,epoch,val_acc_mean,val_acc_std,novel_acc_mean,novel_acc_std
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.25,3,,,,,novel,-1,False,200.0,none,,,,record.csv,False,0.05,loss,bagging,69,92.62666667,98.89333333,45,74.0,9.02,77.34,8.19
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.25,3,,,,,novel,-1,False,200.0,none,,,,record.csv,False,0.125,loss,bagging,69,92.62666667,98.89333333,45,74.71,8.64,77.28,8.34
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.25,3,,,,,novel,-1,False,200.0,none,,,,record.csv,False,0.25,loss,bagging,69,92.62666667,98.89333333,45,74.53,9.11,77.64,8.31
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,-1.0,,record.csv,False,0.25,acc,ada_weight,69,91.89333333,99.98666667,24,79.77,8.47,81.92,8.49
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,-1.0,,record.csv,False,0.5,acc,ada_weight,69,91.89333333,99.98666667,24,79.62,8.41,81.63,8.36
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.25,acc,ada_weight,69,91.89333333,99.98666667,24,78.26,8.46,80.4,8.43
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,0.0,,record.csv,False,0.5,acc,ada_weight,69,91.89333333,99.98666667,24,78.09,8.46,80.3,8.42
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.25,acc,ada_weight,69,91.89333333,99.98666667,24,77.91,8.4,79.97,8.49
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,3.0,,record.csv,False,0.5,acc,ada_weight,69,91.89333333,99.98666667,24,77.87,8.39,79.93,8.48
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,-1.0,,record.csv,False,0.01,acc,adaboost,69,91.89333333,99.98666667,24,76.74,8.46,78.92,8.97
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,200.0,none,0.25,-1.0,,record.csv,False,0.015,acc,adaboost,69,91.89333333,99.98666667,24,77.39,8.52,79.34,8.81
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.25,3,,,,,novel,-1,False,200.0,none,,,,record.csv,False,0.5,loss,bagging,69,92.62666667,98.89333333,45,74.95,9.0,77.79,8.4
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.25,0,,,,,novel,-1,False,200.0,none,,,,record.csv,False,,loss,bagging,69,91.6,99.92,83,80.06,9.26,83.09,8.13
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.25,0,,,,,novel,-1,False,200.0,none,,,,record.csv,False,0.05,loss,bagging,69,91.6,99.92,83,79.98,9.17,83.21,8.2
cross_char_base3lang,Conv4,protonet,5,5,5,False,0,False,,,0,,,,,,,False,0.25,0,,,,,novel,-1,False,200.0,none,,,,record.csv,False,0.125,loss,bagging,69,91.6,99.92,83,79.98,9.11,83.27,7.90
