time,dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,image_size,recons_decoder,recons_lambda,aug_target,aug_type,split,save_iter,adaptation,gpu_id,acc_mean,acc_std,epoch
20191110-092340,cross_char,Conv4S,protonet,5,5,5,False,,,0.0,,,novel,-1,False,0.0,88.12,6.77,148.0
20191110-095944,cross_char,Conv4S,protonet,5,5,5,False,,ConvS,0.1,,,novel,-1,False,0.0,87.2,6.71,110.0
20191110-102828,cross_char,Conv4S,protonet,5,5,5,False,,ConvS,1.0,,,novel,-1,False,0.0,86.21,7.25,35.0
20191110-104427,cross_char,Conv4S,protonet,5,5,5,False,,ConvS,10.0,,,novel,-1,False,0.0,79.96,8.19,3.0
20191110-111026,cross_char,Conv4S,protonet,5,5,5,False,,HiddenConvS,0.1,,,novel,-1,False,0.0,86.63,7.34,92.0
20191110-114945,cross_char,Conv4S,protonet,5,5,5,False,,HiddenConvS,1.0,,,novel,-1,False,0.0,86.56,7.46,82.0
20191110-122259,cross_char,Conv4S,protonet,5,5,5,False,,HiddenConvS,10.0,,,novel,-1,False,0.0,85.32,7.42,62.0
20191110-140338,omniglot,Conv4S,protonet,5,5,5,False,,,0.0,,,novel,-1,True,0.0,98.88,1.77,82.0
20191110-142400,omniglot,Conv4S,protonet,5,5,5,False,,ConvS,0.1,,,novel,-1,True,0.0,98.99,1.51,76.0
20191110-144853,omniglot,Conv4S,protonet,5,5,5,False,,ConvS,1.0,,,novel,-1,True,0.0,98.01,2.26,73.0
20191110-151351,omniglot,Conv4S,protonet,5,5,5,False,,ConvS,10.0,,,novel,-1,True,0.0,95.03,3.66,97.0
20191110-153521,omniglot,Conv4S,protonet,5,5,5,False,,HiddenConvS,0.1,,,novel,-1,True,0.0,99.02,1.59,87.0
20191110-155940,omniglot,Conv4S,protonet,5,5,5,False,,HiddenConvS,1.0,,,novel,-1,True,0.0,98.99,1.58,88.0
20191110-162452,omniglot,Conv4S,protonet,5,5,5,False,,HiddenConvS,10.0,,,novel,-1,True,0.0,98.9,1.55,87.0
20191110-165438,cross_char,Conv4S,protonet,5,5,5,False,,,0.0,,,novel,-1,True,0.0,88.53,6.55,148.0
20191110-171804,cross_char,Conv4S,protonet,5,5,5,False,,ConvS,0.1,,,novel,-1,True,0.0,87.79,6.94,110.0
20191110-173349,cross_char,Conv4S,protonet,5,5,5,False,,ConvS,1.0,,,novel,-1,True,0.0,87.64,7.56,35.0
20191110-174816,cross_char,Conv4S,protonet,5,5,5,False,,ConvS,10.0,,,novel,-1,True,0.0,82.74,7.64,3.0
20191110-180145,cross_char,Conv4S,protonet,5,5,5,False,,HiddenConvS,0.1,,,novel,-1,True,0.0,86.99,6.98,92.0
20191110-181735,cross_char,Conv4S,protonet,5,5,5,False,,HiddenConvS,1.0,,,novel,-1,True,0.0,87.66,6.99,82.0
20191110-183215,cross_char,Conv4S,protonet,5,5,5,False,,HiddenConvS,10.0,,,novel,-1,True,0.0,86.49,7.23,62.0
20191111-153241,omniglot,Conv4S,protonet,5,5,5,False,,,0.0,,,novel,-1,False,0.0,98.82,2.0,65.0
20191111-160050,omniglot,Conv4S,protonet,5,5,5,False,,ConvS,0.1,,,novel,-1,False,0.0,98.98,1.54,121.0
20191111-162428,omniglot,Conv4S,protonet,5,5,5,False,,ConvS,1.0,,,novel,-1,False,0.0,98.89,1.81,95.0
20191111-170951,omniglot,Conv4S,protonet,5,5,5,False,,ConvS,10.0,,,novel,-1,False,0.0,96.01,3.52,148.0
20191111-173148,omniglot,Conv4S,protonet,5,5,5,False,,HiddenConvS,0.1,,,novel,-1,False,0.0,98.97,1.54,94.0
20191111-175559,omniglot,Conv4S,protonet,5,5,5,False,,HiddenConvS,1.0,,,novel,-1,False,0.0,99.0,1.53,118.0
20191111-181857,omniglot,Conv4S,protonet,5,5,5,False,,HiddenConvS,10.0,,,novel,-1,False,0.0,99.12,1.36,103.0
20191111-233626,omniglot,Conv4S,protonet,5,5,5,False,,,0.0,,,novel,-1,True,0.0,98.93,1.55,65.0
20191111-235014,omniglot,Conv4S,protonet,5,5,5,False,,ConvS,0.1,,,novel,-1,True,0.0,98.9,1.69,121.0
20191112-000405,omniglot,Conv4S,protonet,5,5,5,False,,ConvS,1.0,,,novel,-1,True,0.0,98.91,1.81,95.0
20191112-001754,omniglot,Conv4S,protonet,5,5,5,False,,ConvS,10.0,,,novel,-1,True,0.0,95.17,3.65,148.0
20191112-003203,omniglot,Conv4S,protonet,5,5,5,False,,HiddenConvS,0.1,,,novel,-1,True,0.0,98.78,1.77,94.0
20191112-004611,omniglot,Conv4S,protonet,5,5,5,False,,HiddenConvS,1.0,,,novel,-1,True,0.0,99.02,1.49,118.0
20191112-010009,omniglot,Conv4S,protonet,5,5,5,False,,HiddenConvS,10.0,,,novel,-1,True,0,98.99,1.43,103.0
