dataset,model,method,train_n_way,test_n_way,n_shot,train_aug,gpu_id,debug,image_size,recons_decoder,recons_lambda,aug_type,aug_target,vaegan_exp,vaegan_step,zvar_lambda,fake_prob,vaegan_is_train,dropout_p,dropout_block_id,more_to_drop,min_gram,gram_bid,lambda_gram,split,save_iter,target_bn,n_test_candidates,sample_strategy,test_dropout_p,test_dropout_bid,finetune_dropout_p,csv_name,adaptation,frac_ensemble,candidate_metric,ensemble_strategy,num_classes,train_acc_mean,epoch,source_val_acc,val_acc_mean,novel_acc_mean,val_acc_std,novel_acc_std
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,,none,,,0.25,record.csv,False,,acc,vote,1597,83.14659489,4,,83.63,86.52,8.74,7.83
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,,none,,,0.5,record.csv,False,,acc,vote,1597,83.14659489,4,,82.37,85.47,8.83,7.94
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,3.0,none,0.25,3.0,,record.csv,False,1.0,loss,avg_prob,1597,83.14659489,4,,83.49,86.52,9.18,7.83
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,5.0,none,0.25,3.0,,record.csv,False,1.0,loss,avg_prob,1597,83.14659489,4,,83.96,86.72,8.95,7.57
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,3.0,none,0.25,0.0,,record.csv,False,1.0,loss,avg_prob,1597,83.14659489,4,,84.1,87.18,8.92,7.81
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,5.0,none,0.25,0.0,,record.csv,False,1.0,loss,avg_prob,1597,83.14659489,4,,84.3,87.1,8.98,7.55
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,3.0,none,0.5,3.0,,record.csv,False,1.0,loss,avg_prob,1597,83.14659489,4,,81.49,84.94,9.29,7.98
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,5.0,none,0.5,3.0,,record.csv,False,1.0,loss,avg_prob,1597,83.14659489,4,,82.7,86.42,9.1,7.64
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,3.0,none,0.5,0.0,,record.csv,False,1.0,loss,avg_prob,1597,83.14659489,4,,83.89,87.04,8.84,7.91
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.0,3,,,,,novel,-1,False,5.0,none,0.5,0.0,,record.csv,False,1.0,loss,avg_prob,1597,83.14659489,4,,84.05,86.81,8.85,7.55
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.25,3,,,,,novel,-1,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,1597,15.01001502,3,,82.05,85.73,8.87,7.86
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.25,3,,,,,novel,-1,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,1597,15.01001502,3,,82.84,86.13,9.05,7.74
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.25,0,,,,,novel,-1,False,3.0,none,,,,record.csv,False,1.0,loss,avg_prob,1597,68.67801703,3,,83.75,86.65,8.94,7.84
cross_char,Conv4,baseline,5,5,5,False,0,False,,,0,,,,,,,False,0.25,0,,,,,novel,-1,False,5.0,none,,,,record.csv,False,1.0,loss,avg_prob,1597,68.67801703,3,,84.08,86.94,8.92,7.77
